time,kw
0,41903.0
1,43479.0
2,43572.0
3,43253.0
4,43566.0
5,43998.0
6,44511.0
7,45048.0
8,46479.0
9,46191.0
10,46171.0
11,45832.0
12,45509.0
13,45588.0
14,45691.0
15,45884.0
16,44859.0
17,47273.0
18,45883.0
19,45735.0
20,45305.0
21,44682.0
22,44162.0
23,43247.0
24,42885.0
25,43411.0
26,43395.0
27,43236.0
28,43081.0
29,44092.0
30,44570.0
31,45615.0
32,47002.0
33,46428.0
34,46983.0
35,47503.0
36,47309.0
37,46992.0
38,47714.0
39,46652.0
40,46906.0
41,47689.0
42,48129.0
43,48364.0
44,47781.0
45,47103.0
46,46881.0
47,46285.0
48,44406.0
49,42985.0
50,43966.0
51,44024.0
52,43633.0
53,43451.0
54,43678.0
55,44241.0
56,44894.0
57,44264.0
58,44105.0
59,44646.0
60,44338.0
61,44441.0
62,44225.0
63,43971.0
64,43163.0
65,43468.0
66,43310.0
67,42410.0
68,43560.0
69,42032.0
70,41741.0
71,41153.0
72,40550.0
73,39652.0
74,39275.0
75,40825.0
76,39411.0
77,39265.0
78,39124.0
79,40533.0
80,40826.0
81,41048.0
82,41388.0
83,42497.0
84,41847.0
85,41906.0
86,41806.0
87,42402.0
88,42833.0
89,43131.0
90,43438.0
91,43603.0
92,43267.0
93,42706.0
94,42457.0
95,41710.0
96,41532.0
97,41420.0
98,41581.0
99,40867.0
100,40975.0
101,41249.0
102,43075.0
103,45561.0
104,45119.0
105,46991.0
106,48758.0
107,52628.0
108,52877.0
109,50712.0
110,51242.0
111,51669.0
112,50700.0
113,49491.0
114,47314.0
115,46162.0
116,45105.0
117,44559.0
118,43774.0
119,43221.0
120,42703.0
121,42660.0
122,42338.0
123,42027.0
124,42231.0
125,42476.0
126,42871.0
127,44388.0
128,47182.0
129,49673.0
130,49742.0
131,50887.0
132,50793.0
133,51195.0
134,51265.0
135,51322.0
136,50712.0
137,49714.0
138,47931.0
139,46305.0
140,45741.0
141,45107.0
142,44561.0
143,43643.0
144,43203.0
145,43925.0
146,43864.0
147,44122.0
148,44197.0
149,44202.0
150,44730.0
151,45794.0
152,48247.0
153,50292.0
154,50076.0
155,51926.0
156,51991.0
157,52209.0
158,51903.0
159,52244.0
160,51774.0
161,50941.0
162,49131.0
163,48201.0
164,47585.0
165,46899.0
166,46808.0
167,47880.0
168,46350.0
169,47021.0
170,46105.0
171,46166.0
172,45656.0
173,45485.0
174,46110.0
175,47576.0
176,49476.0
177,51832.0
178,51755.0
179,51687.0
180,52821.0
181,51964.0
182,53043.0
183,53158.0
184,52318.0
185,51260.0
186,48894.0
187,47657.0
188,47061.0
189,46079.0
190,46662.0
191,46959.0
192,46257.0
193,45989.0
194,46236.0
195,46055.0
196,46022.0
197,45728.0
198,46199.0
199,47936.0
200,51196.0
201,53172.0
202,53634.0
203,53930.0
204,54363.0
205,54154.0
206,53779.0
207,52890.0
208,52960.0
209,51843.0
210,49802.0
211,47720.0
212,47132.0
213,45429.0
214,44303.0
215,46641.0
216,46364.0
217,45846.0
218,46009.0
219,45305.0
220,45056.0
221,44624.0
222,45408.0
223,45712.0
224,46088.0
225,45489.0
226,48379.0
227,49557.0
228,48661.0
229,49266.0
230,48971.0
231,49067.0
232,48908.0
233,49083.0
234,48580.0
235,48360.0
236,48104.0
237,46934.0
238,47019.0
239,46255.0
240,46383.0
241,45698.0
242,45328.0
243,45001.0
244,45416.0
245,43784.0
246,44550.0
247,45267.0
248,45576.0
249,43470.0
250,43426.0
251,44481.0
252,44786.0
253,45075.0
254,44929.0
255,44976.0
256,44951.0
257,45426.0
258,44272.0
259,44124.0
260,43505.0
261,42656.0
262,42693.0
263,42413.0
264,41927.0
265,41737.0
266,41707.0
267,41465.0
268,41504.0
269,41610.0
270,42387.0
271,43678.0
272,45793.0
273,49957.0
274,51627.0
275,52656.0
276,52046.0
277,51854.0
278,52070.0
279,53263.0
280,52185.0
281,50295.0
282,48132.0
283,47761.0
284,46886.0
285,46301.0
286,46892.0
287,45916.0
288,45913.0
289,45658.0
290,43936.0
291,43463.0
292,43809.0
293,43850.0
294,44472.0
295,47434.0
296,49782.0
297,50966.0
298,53747.0
299,54255.0
300,53824.0
301,52811.0
302,52058.0
303,52567.0
304,51493.0
305,50592.0
306,47710.0
307,45611.0
308,44654.0
309,43748.0
310,43125.0
311,42329.0
312,42185.0
313,41631.0
314,41653.0
315,41232.0
316,41389.0
317,41550.0
318,42286.0
319,43647.0
320,46084.0
321,48582.0
322,49197.0
323,49378.0
324,49016.0
325,48964.0
326,49241.0
327,49137.0
328,44049.0
329,46964.0
330,44629.0
331,43291.0
332,36396.0
333,36541.0
334,37609.0
335,41190.0
336,40890.0
337,40878.0
338,40066.0
339,40032.0
340,40306.0
341,40315.0
342,40946.0
343,42760.0
344,44920.0
345,46357.0
346,46977.0
347,47278.0
348,46984.0
349,46362.0
350,46584.0
351,46479.0
352,47301.0
353,46442.0
354,45751.0
355,46019.0
356,45331.0
357,44940.0
358,44266.0
359,43262.0
360,42843.0
361,42042.0
362,43598.0
363,43275.0
364,43180.0
365,43907.0
366,37709.0
367,40423.0
368,43878.0
369,46129.0
370,39320.0
371,40542.0
372,39852.0
373,41859.0
374,43156.0
375,47857.0
376,47023.0
377,45787.0
378,45791.0
379,47300.0
380,47385.0
381,47859.0
382,47407.0
383,46305.0
384,45331.0
385,44553.0
386,44647.0
387,44988.0
388,44157.0
389,43431.0
390,43779.0
391,44343.0
392,43727.0
393,44019.0
394,45032.0
395,45571.0
396,46059.0
397,45937.0
398,45455.0
399,45662.0
400,45534.0
401,45234.0
402,44318.0
403,45631.0
404,44921.0
405,45113.0
406,45057.0
407,44397.0
408,43099.0
409,42908.0
410,42933.0
411,42618.0
412,43269.0
413,43032.0
414,43422.0
415,44121.0
416,45187.0
417,45321.0
418,46062.0
419,46254.0
420,46980.0
421,47473.0
422,47417.0
423,47364.0
