time,kw
0,25318.0
1,25199.0
2,25188.0
3,25279.0
4,25237.0
5,25211.0
6,25045.0
7,25071.0
8,24897.0
9,18648.0
10,20004.0
11,21409.0
12,22180.0
13,21942.0
14,21950.0
15,23187.0
16,24958.0
17,24878.0
18,24848.0
19,24776.0
20,25032.0
21,25128.0
22,25040.0
23,25000.0
24,24980.0
25,25133.0
26,25022.0
27,25221.0
28,25133.0
29,24957.0
30,24951.0
31,24899.0
32,24802.0
33,24821.0
34,24597.0
35,24700.0
36,24887.0
37,24790.0
38,24728.0
39,24771.0
40,24783.0
41,24649.0
42,24725.0
43,24718.0
44,24772.0
45,24823.0
46,24730.0
47,24800.0
48,24872.0
49,24794.0
50,24827.0
51,24716.0
52,24916.0
53,24786.0
54,24439.0
55,24434.0
56,24380.0
57,24943.0
58,24984.0
59,25159.0
60,25271.0
61,25222.0
62,25369.0
63,25373.0
64,25287.0
65,25285.0
66,25427.0
67,25308.0
68,25486.0
69,25298.0
70,25353.0
71,25321.0
72,25350.0
73,25364.0
74,25328.0
75,25231.0
76,25370.0
77,25266.0
78,25158.0
79,25256.0
80,25250.0
81,25209.0
82,25230.0
83,25234.0
84,25275.0
85,25574.0
86,25276.0
87,25215.0
88,25218.0
89,25211.0
90,25142.0
91,25249.0
92,25803.0
93,26490.0
94,26836.0
95,27411.0
96,27403.0
97,27411.0
98,27418.0
99,27427.0
100,27211.0
101,27250.0
102,27255.0
103,27271.0
104,27183.0
105,26939.0
106,25457.0
107,25277.0
108,27553.0
109,29165.0
110,30466.0
111,30692.0
112,31501.0
113,31732.0
114,31695.0
115,31980.0
116,31939.0
117,31660.0
118,32076.0
119,31934.0
120,31797.0
121,31856.0
122,31860.0
123,31700.0
124,31836.0
125,32260.0
126,31809.0
127,32235.0
128,31781.0
129,31974.0
130,31401.0
131,30468.0
132,30667.0
133,30198.0
134,30071.0
135,30079.0
136,30437.0
137,31116.0
138,31099.0
139,31425.0
140,31543.0
141,31512.0
142,31182.0
143,31295.0
144,30639.0
145,30156.0
146,30151.0
147,29694.0
148,29607.0
149,29260.0
150,29231.0
151,29571.0
152,29623.0
153,28992.0
154,28160.0
155,27812.0
156,26237.0
157,25779.0
158,25898.0
159,24451.0
160,24766.0
161,24598.0
162,25051.0
163,24355.0
164,24656.0
165,24470.0
166,24382.0
167,24526.0
168,24225.0
169,24718.0
170,24283.0
171,24435.0
172,24070.0
173,22235.0
174,22232.0
175,22168.0
176,24548.0
177,25008.0
178,24781.0
179,24715.0
180,24528.0
181,24671.0
182,24336.0
183,24516.0
184,25021.0
185,24874.0
186,25098.0
187,24938.0
188,24570.0
189,24777.0
190,24593.0
191,24591.0
192,24581.0
193,24079.0
194,24150.0
195,24295.0
196,24369.0
197,24481.0
198,24356.0
199,25109.0
200,25980.0
201,25720.0
202,24605.0
203,24892.0
204,24340.0
205,24146.0
206,24242.0
207,26408.0
208,28254.0
209,29728.0
210,38453.0
211,38119.0
212,38219.0
213,37902.0
214,37552.0
215,37455.0
216,36983.0
217,36867.0
218,36868.0
219,37244.0
220,37155.0
221,37007.0
222,36633.0
223,37338.0
224,37631.0
225,37215.0
226,36198.0
227,34686.0
228,34836.0
229,34476.0
230,34111.0
231,33916.0
232,34005.0
233,34807.0
234,35401.0
235,35001.0
236,35088.0
237,34945.0
238,34997.0
239,35337.0
240,35012.0
241,35302.0
242,34826.0
243,35217.0
244,35328.0
245,35244.0
246,35173.0
247,35421.0
248,35835.0
249,35623.0
250,35508.0
251,35173.0
252,34318.0
253,35076.0
254,34927.0
255,34252.0
256,34949.0
