time,mw,u
0,0.8,0.0
1,0.2,0.0
2,0.2,0.0
3,0.1,0.0
4,0.0,0.0
5,0.0,0.0
6,0.0,0.0
7,0.0,0.0
8,0.0,2.66666666667
9,0.0,4.0
10,0.1,6.66666666667
11,0.3,4.33333333333
12,0.3,5.0
13,0.0,5.66666666667
14,0.1,6.0
15,0.0,6.0
16,0.1,4.33333333333
17,0.6,3.66666666667
18,0.8,5.66666666667
19,1.9,5.33333333333
20,3.2,3.66666666667
21,3.6,4.66666666667
22,3.2,5.66666666667
23,3.0,4.5
24,3.8,5.0
25,3.2,5.33333333333
26,3.0,2.66666666667
27,2.4,3.0
28,2.5,0.0
29,1.5,0.0
30,1.4,3.0
31,1.3,4.66666666667
32,1.8,6.33333333333
33,1.8,3.66666666667
34,2.6,8.0
35,1.7,6.0
36,2.3,6.33333333333
37,1.8,0.0
38,1.7,3.33333333333
39,0.0,5.33333333333
40,0.1,7.33333333333
41,0.9,6.33333333333
42,3.3,3.0
43,2.7,4.33333333333
44,2.3,2.66666666667
45,1.1,0.0
46,0.2,1.0
47,0.7,0.0
48,0.7,0.0
49,0.7,1.0
50,0.3,2.0
51,0.1,3.66666666667
52,0.0,1.0
53,0.0,5.0
54,0.0,2.66666666667
55,0.1,3.33333333333
56,0.4,6.0
57,0.4,8.66666666667
58,0.9,8.0
59,4.5,10.3333333333
60,5.0,10.3333333333
61,7.3,10.3333333333
62,7.1,9.66666666667
63,6.1,9.33333333333
64,6.7,12.0
65,7.6,10.3333333333
66,8.2,10.3333333333
67,8.0,13.3333333333
68,8.1,10.6666666667
69,8.2,12.0
70,8.0,11.3333333333
71,7.6,12.375
72,7.3,13.3333333333
73,7.7,10.3333333333
74,8.0,8.33333333333
75,7.6,9.0
76,7.4,9.0
77,7.3,8.66666666667
78,7.3,9.33333333333
79,7.1,8.66666666667
80,6.1,10.3333333333
81,5.5,9.0
82,6.0,10.0
83,5.7,7.66666666667
84,5.6,9.33333333333
85,4.4,9.0
86,4.9,8.0
87,4.9,9.33333333333
88,4.8,7.0
89,4.4,3.0
90,4.1,6.0
91,3.0,7.0
92,2.6,5.66666666667
93,2.7,5.66666666667
94,3.7,7.66666666667
95,2.5,6.875
96,2.7,7.0
97,1.9,6.66666666667
98,1.8,7.33333333333
99,2.1,8.0
100,1.9,6.66666666667
101,1.9,7.66666666667
102,1.2,6.0
103,1.2,3.66666666667
104,0.5,5.33333333333
105,0.2,5.0
106,0.3,2.66666666667
107,0.2,5.0
108,0.1,5.66666666667
109,0.2,5.66666666667
110,0.7,4.0
111,1.0,7.33333333333
112,1.5,5.66666666667
113,2.6,3.0
114,2.5,6.33333333333
115,1.9,6.0
116,2.0,7.66666666667
117,5.1,7.66666666667
118,5.2,4.0
119,3.7,4.0
120,1.7,4.33333333333
121,1.2,5.0
122,1.3,4.33333333333
123,1.8,2.0
124,1.2,1.0
125,2.1,1.0
126,1.3,1.66666666667
127,0.8,0.0
128,0.7,3.66666666667
129,0.8,7.66666666667
130,0.6,7.66666666667
131,1.3,7.66666666667
132,2.4,7.33333333333
133,2.6,6.66666666667
134,2.3,6.66666666667
135,1.4,5.66666666667
136,1.0,4.66666666667
137,0.5,2.66666666667
138,0.4,0.0
139,0.4,0.0
140,0.7,2.0
141,0.6,3.66666666667
142,0.9,1.0
143,1.6,1.0
144,1.5,0.0
145,2.0,0.0
146,1.5,0.0
147,1.1,1.0
148,1.8,1.0
149,1.7,0.0
150,1.8,0.0
151,1.2,3.0
152,0.8,2.0
153,1.3,4.66666666667
154,1.5,6.33333333333
155,1.2,6.0
156,1.6,6.66666666667
157,1.3,8.0
158,1.4,8.0
159,2.0,7.0
160,2.5,6.66666666667
161,2.4,5.33333333333
162,3.2,5.66666666667
163,3.8,5.33333333333
164,4.4,5.66666666667
165,4.9,5.33333333333
166,4.2,6.0
167,4.6,5.66666666667
168,5.2,4.0
169,3.9,3.66666666667
170,2.4,1.0
171,1.9,1.0
172,1.1,2.0
173,0.7,1.0
174,0.6,0.0
175,0.4,0.0
176,0.1,0.0
177,0.0,3.0
178,0.1,6.33333333333
179,0.0,7.0
180,0.0,7.0
181,0.3,8.66666666667
182,0.3,9.33333333333
183,0.9,10.6666666667
184,1.3,9.66666666667
185,2.5,8.0
186,3.1,10.3333333333
187,3.9,14.0
188,5.6,13.3333333333
189,7.8,13.0
190,8.1,15.6666666667
191,8.3,14.6666666667
192,8.2,16.6666666667
193,7.0,14.3333333333
194,8.0,13.0
195,8.3,10.6666666667
196,7.4,13.0
197,6.8,11.6666666667
198,6.9,9.33333333333
199,7.3,7.66666666667
200,5.0,10.0
201,4.1,9.66666666667
202,3.2,6.66666666667
203,3.4,7.66666666667
204,4.1,10.3333333333
205,3.2,10.3333333333
206,2.5,11.3333333333
207,3.1,9.66666666667
208,3.9,11.6666666667
209,2.5,13.0
210,4.7,16.6666666667
211,8.2,17.0
212,8.5,17.6666666667
213,8.6,20.0
214,8.5,19.0
215,8.6,17.3333333333
216,8.5,19.6666666667
217,8.5,16.3333333333
218,8.5,16.6666666667
219,8.5,15.3333333333
220,8.5,15.6666666667
221,8.6,19.3333333333
222,8.5,22.0
223,8.6,21.6666666667
224,8.5,21.3333333333
225,8.5,22.6666666667
226,8.5,23.3333333333
227,8.5,24.6666666667
228,8.5,20.0
229,8.6,16.0
230,8.5,7.66666666667
231,8.5,16.6666666667
232,6.9,17.6666666667
233,7.1,13.6666666667
234,8.6,9.0
235,8.5,8.33333333333
236,8.3,9.0
237,8.4,8.66666666667
238,7.2,6.33333333333
239,6.7,1.125
240,4.8,0.0
241,2.2,1.0
242,0.9,2.66666666667
243,0.1,2.66666666667
244,0.0,7.66666666667
245,0.6,8.33333333333
246,2.6,12.6666666667
247,5.4,13.0
248,7.7,14.6666666667
249,8.5,12.3333333333
250,8.5,14.6666666667
251,8.5,11.3333333333
252,8.3,14.3333333333
253,7.7,12.3333333333
254,7.3,13.6666666667
255,7.3,12.3333333333
256,7.3,10.3333333333
257,7.3,13.3333333333
258,6.6,16.6666666667
259,8.5,10.0
260,8.2,6.66666666667
261,4.3,1.0
262,2.1,5.0
263,0.8,5.0
264,1.3,5.33333333333
265,1.2,5.33333333333
266,1.2,8.33333333333
267,1.4,7.33333333333
268,1.5,7.0
269,2.4,6.66666666667
270,1.9,6.33333333333
271,1.1,4.66666666667
272,1.2,8.0
273,0.7,7.66666666667
274,1.3,7.33333333333
275,1.1,7.33333333333
276,0.4,8.0
277,0.4,9.33333333333
278,0.6,8.0
279,1.0,10.3333333333
280,1.2,8.66666666667
281,1.2,6.66666666667
282,0.9,8.33333333333
283,0.6,7.5
284,0.5,8.33333333333
285,1.8,9.0
286,2.6,6.0
287,1.8,4.625
288,2.4,5.0
289,2.0,4.0
290,0.4,7.33333333333
291,0.7,6.33333333333
292,1.7,6.33333333333
293,2.0,6.33333333333
294,1.8,7.0
295,1.5,9.66666666667
296,2.5,8.66666666667
297,3.5,8.33333333333
298,2.2,13.6666666667
299,1.5,13.6666666667
300,2.2,13.0
301,3.2,13.6666666667
302,3.1,13.3333333333
303,4.1,11.3333333333
304,5.3,10.6666666667
305,4.2,12.0
306,2.8,11.3333333333
307,3.8,11.0
308,3.2,9.66666666667
309,3.3,8.66666666667
310,3.1,8.0
311,1.9,7.0
312,1.8,6.66666666667
313,1.2,6.66666666667
314,0.8,6.66666666667
315,0.5,5.66666666667
316,0.5,6.0
317,0.0,0.0
318,0.2,3.66666666667
319,0.1,1.66666666667
320,0.0,2.66666666667
321,0.0,4.33333333333
322,0.0,3.66666666667
323,0.0,3.66666666667
324,0.0,1.0
325,0.0,5.66666666667
326,0.0,4.66666666667
327,0.1,4.33333333333
328,0.1,2.66666666667
329,0.1,4.33333333333
330,0.1,5.0
331,0.0,0.0
332,0.0,0.0
333,0.0,0.0
334,0.0,1.0
335,0.0,0.375
336,0.0,1.0
337,0.0,1.0
338,0.0,1.0
339,0.0,3.66666666667
340,0.0,1.0
341,0.0,1.0
342,0.0,1.0
343,0.0,4.33333333333
344,0.0,4.66666666667
345,0.0,4.66666666667
346,0.0,5.66666666667
347,0.0,5.33333333333
348,0.0,0.0
349,0.0,1.66666666667
350,0.0,2.0
351,0.0,5.33333333333
352,0.0,4.66666666667
353,0.1,4.33333333333
354,0.4,1.0
355,0.4,4.66666666667
356,0.4,5.33333333333
357,0.7,5.66666666667
358,0.4,6.0
359,0.4,5.125
360,0.6,4.0
361,0.9,5.33333333333
362,0.8,7.0
363,0.7,6.0
364,1.2,3.66666666667
365,1.3,5.0
366,1.5,7.33333333333
367,1.0,6.66666666667
368,1.6,5.33333333333
369,1.3,7.66666666667
370,2.3,8.0
371,3.2,8.33333333333
372,5.0,6.0
373,4.6,7.0
374,3.9,6.33333333333
375,3.7,7.33333333333
376,3.4,6.0
377,5.9,5.66666666667
378,7.6,3.66666666667
379,5.9,3.66666666667
380,2.8,4.33333333333
381,2.5,3.33333333333
382,3.7,6.0
383,5.9,9.125
384,7.9,8.33333333333
385,8.3,8.66666666667
386,6.4,8.33333333333
387,6.1,8.66666666667
388,6.3,7.0
389,6.3,7.33333333333
390,6.0,7.0
391,4.9,7.66666666667
392,4.8,6.33333333333
393,4.4,6.0
394,3.5,8.66666666667
395,3.9,8.0
396,4.4,6.33333333333
397,5.1,6.33333333333
398,4.5,6.66666666667
399,5.1,9.66666666667
400,4.8,8.0
401,5.5,7.66666666667
402,4.1,6.33333333333
403,5.0,6.66666666667
404,4.8,6.66666666667
405,3.0,7.33333333333
406,2.8,7.66666666667
407,3.6,6.0
408,3.4,6.66666666667
409,3.7,6.33333333333
410,3.2,4.0
411,3.0,5.0
412,2.2,6.33333333333
413,1.8,4.0
414,3.0,2.0
415,1.8,2.0
416,0.8,4.33333333333
417,0.6,5.0
418,1.8,5.33333333333
419,1.8,4.33333333333
420,1.7,4.66666666667
421,0.9,4.66666666667
422,0.3,9.0
423,1.3,5.66666666667
424,1.4,5.0
425,1.2,2.0
426,1.9,0.0
427,1.7,2.0
428,0.6,0.0
429,1.0,4.66666666667
430,1.2,5.0
431,2.9,5.125
432,4.3,4.0
433,4.2,4.33333333333
434,2.8,5.33333333333
435,2.1,4.0
436,2.7,6.33333333333
437,3.0,5.66666666667
438,2.5,7.33333333333
439,1.9,5.33333333333
440,2.5,6.0
441,2.4,9.33333333333
442,2.5,10.3333333333
443,3.1,9.33333333333
444,2.9,9.0
445,3.0,7.33333333333
446,2.3,7.66666666667
447,1.3,9.33333333333
448,1.2,7.66666666667
449,1.4,9.66666666667
450,3.2,8.66666666667
451,3.3,7.33333333333
452,3.5,6.0
453,2.8,6.0
454,2.5,4.66666666667
455,2.5,0.75
456,1.8,0.0
457,0.6,2.33333333333
458,0.1,3.33333333333
459,0.1,4.0
460,0.0,0.0
461,0.0,2.0
462,0.1,0.0
463,0.0,0.0
464,0.0,0.0
465,0.1,1.66666666667
466,0.2,5.33333333333
467,0.0,6.66666666667
468,0.0,6.66666666667
469,0.3,7.33333333333
470,0.6,4.33333333333
471,0.2,2.66666666667
472,0.5,5.66666666667
473,0.0,3.0
474,0.2,0.0
475,0.9,1.0
476,1.4,2.0
477,2.4,5.33333333333
478,3.1,7.0
479,3.4,7.875
480,5.5,7.66666666667
481,8.0,9.33333333333
482,7.4,9.33333333333
483,6.3,9.66666666667
484,7.0,9.33333333333
485,7.3,10.0
486,7.6,10.6666666667
487,6.7,10.3333333333
488,6.8,11.6666666667
489,7.3,12.3333333333
490,7.3,9.0
491,6.3,9.33333333333
492,5.8,9.66666666667
493,6.9,7.0
494,6.2,6.66666666667
495,5.4,6.66666666667
496,4.1,1.66666666667
497,3.0,0.0
498,1.6,0.0
499,1.2,0.0
500,1.4,1.0
501,0.9,3.66666666667
502,0.5,0.0
503,0.4,2.5
504,1.3,4.33333333333
505,1.0,7.33333333333
506,1.1,9.0
507,2.4,9.66666666667
508,4.4,8.66666666667
509,3.0,6.33333333333
510,2.2,7.33333333333
511,1.5,6.0
512,1.2,7.66666666667
513,1.1,9.33333333333
514,1.8,11.6666666667
515,2.4,12.6666666667
516,3.9,14.6666666667
517,4.0,15.0
518,4.5,15.0
519,6.8,13.6666666667
520,7.1,11.3333333333
521,6.0,9.0
522,6.2,10.0
523,6.9,9.0
524,5.7,4.66666666667
525,3.1,4.66666666667
526,1.7,4.33333333333
527,1.4,5.75
528,1.9,6.0
529,2.3,7.0
530,2.5,7.66666666667
531,3.7,7.66666666667
532,4.6,8.66666666667
533,4.2,9.66666666667
534,4.2,9.0
535,4.3,8.0
536,2.9,9.0
537,2.7,9.66666666667
538,3.5,8.66666666667
539,3.3,8.33333333333
540,1.6,5.66666666667
541,1.4,7.66666666667
542,2.1,7.66666666667
543,2.5,6.66666666667
544,2.8,4.66666666667
545,1.7,5.66666666667
546,0.8,3.0
547,1.0,4.33333333333
548,0.4,3.66666666667
549,0.7,2.0
550,1.0,2.0
551,0.4,0.0
552,0.1,2.0
553,0.1,2.0
554,0.0,3.66666666667
555,0.1,2.66666666667
556,0.0,1.0
557,0.1,1.0
558,0.0,2.0
559,0.0,0.0
560,0.0,0.0
561,0.0,0.0
562,0.0,4.66666666667
563,0.0,5.0
564,0.0,6.33333333333
565,0.0,9.0
566,0.0,8.33333333333
567,0.9,9.33333333333
568,1.1,11.0
569,1.8,11.6666666667
570,4.2,15.6666666667
571,6.5,12.0
572,8.0,7.33333333333
573,6.2,8.0
574,5.2,6.66666666667
575,5.5,9.33333333333
576,6.9,9.33333333333
577,7.6,10.3333333333
578,8.0,7.66666666667
579,5.6,8.66666666667
580,5.0,7.66666666667
581,5.2,9.33333333333
582,6.2,4.66666666667
583,6.1,6.0
584,5.5,8.33333333333
585,6.9,7.66666666667
586,7.2,10.6666666667
587,7.9,8.66666666667
588,8.5,8.0
589,8.3,8.0
590,8.2,8.66666666667
591,8.3,7.33333333333
592,8.6,7.33333333333
593,8.5,7.33333333333
594,8.1,14.3333333333
595,8.5,9.66666666667
596,8.5,11.6666666667
597,8.5,9.33333333333
598,8.5,9.33333333333
599,8.5,10.875
600,8.6,10.0
601,8.1,9.66666666667
602,8.4,10.0
603,7.9,10.3333333333
604,7.9,9.33333333333
605,8.1,11.0
606,8.6,11.6666666667
607,8.1,11.3333333333
608,7.4,10.3333333333
609,8.0,8.66666666667
610,7.9,9.66666666667
611,7.4,10.6666666667
612,6.2,9.33333333333
613,6.8,11.0
614,6.6,12.3333333333
615,6.8,10.6666666667
616,6.8,6.33333333333
617,6.9,9.0
618,5.5,6.0
619,5.0,7.33333333333
620,5.0,7.0
621,5.5,9.0
622,6.1,7.33333333333
623,5.8,6.25
624,5.6,6.0
625,2.7,8.33333333333
626,3.4,6.33333333333
627,3.3,3.66666666667
628,3.9,7.0
629,3.2,7.33333333333
630,3.7,4.0
631,2.9,6.33333333333
632,2.7,5.0
633,3.9,7.0
634,4.6,9.0
635,5.8,10.0
636,6.4,8.0
637,5.4,9.33333333333
638,6.2,8.33333333333
639,6.5,8.66666666667
640,6.6,6.33333333333
641,6.5,2.0
642,5.4,0.0
643,3.9,1.0
644,4.5,3.66666666667
645,5.1,2.66666666667
646,5.8,2.66666666667
647,5.5,0.0
648,5.5,1.0
649,4.1,2.0
650,4.9,3.0
651,5.5,5.33333333333
652,3.8,5.66666666667
653,3.4,8.0
654,3.1,7.33333333333
655,4.6,8.33333333333
656,3.7,9.66666666667
657,5.1,10.3333333333
658,4.9,7.66666666667
659,6.6,8.0
660,7.0,9.66666666667
661,5.6,9.66666666667
662,6.1,9.33333333333
663,6.1,9.0
664,6.1,7.66666666667
665,6.1,9.0
666,4.7,3.66666666667
667,6.4,5.33333333333
668,4.2,7.0
669,3.6,7.33333333333
670,5.1,5.66666666667
671,5.8,3.0
672,2.4,3.66666666667
673,2.2,2.66666666667
674,2.9,2.66666666667
675,1.8,4.0
676,1.4,0.0
677,1.9,2.66666666667
678,1.2,3.66666666667
679,1.3,6.33333333333
680,1.0,5.66666666667
681,1.1,8.33333333333
682,1.6,8.66666666667
683,5.0,8.0
684,3.1,7.33333333333
685,5.1,7.66666666667
686,7.1,7.0
687,5.3,8.33333333333
688,4.7,4.0
689,4.2,8.33333333333
690,3.0,8.33333333333
691,7.7,5.33333333333
692,4.9,4.66666666667
693,2.7,4.66666666667
694,1.4,6.33333333333
695,3.3,0.0
696,2.9,0.0
697,1.6,2.0
698,1.7,4.0
699,1.9,1.0
700,2.1,0.0
701,1.1,0.0
702,0.2,0.0
703,0.1,0.0
704,0.0,0.0
705,0.0,3.66666666667
706,0.0,6.33333333333
707,0.0,7.33333333333
708,0.6,12.3333333333
709,1.9,14.3333333333
710,3.9,8.0
711,5.0,14.0
712,3.9,15.6666666667
713,5.0,15.3333333333
714,7.6,11.3333333333
715,8.5,9.0
716,8.1,7.0
717,8.6,5.66666666667
718,8.4,9.33333333333
719,8.6,7.66666666667
720,8.0,8.33333333333
721,8.6,10.3333333333
722,7.8,8.66666666667
723,8.6,10.0
724,7.9,10.6666666667
725,8.5,10.0
726,8.4,9.66666666667
727,8.0,8.0
728,8.6,9.33333333333
729,7.9,11.6666666667
730,8.5,9.66666666667
731,8.5,8.33333333333
732,8.3,7.0
733,8.0,8.0
734,5.9,4.66666666667
735,4.0,5.0
736,1.6,3.0
737,1.4,1.0
738,1.6,1.66666666667
739,1.6,1.0
